name,categories,address,lat,lng,labeledLatLngs,distance,cc,city,state,country,formattedAddress,crossStreet,postalCode,id
WORRAPOJN DENTAL CLINIC,,74/1,18.78045306164641,98.98685860209017,"[{'label': 'display', 'lat': 18.78045306164641, 'lng': 98.98685860209017}]",1167,TH,Chaingmai,,ประเทศไทย,"['74/1 (Ratchiangsaen Rd., muang)', 'Chaingmai', '50100', 'ประเทศไทย']","Ratchiangsaen Rd., muang",50100,4e64d36c52b1260c1421b07d
DC Dental Clinic,Dentist's Office,29/2 Nimmana Haeminda Lane 13,18.794544206849324,98.97182018355586,"[{'label': 'display', 'lat': 18.794544206849324, 'lng': 98.97182018355586}]",1758,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['29/2 Nimmana Haeminda Lane 13', 'เมืองเชียงใหม่', 'เชียงใหม่ 50300', 'ประเทศไทย']",,50300,4dedfad618385379de506a61
Jessada Dental clinic,Dentist's Office,,18.788540998530095,98.99920151254612,"[{'label': 'display', 'lat': 18.788540998530095, 'lng': 98.99920151254612}]",1203,TH,,,ประเทศไทย,['ประเทศไทย'],,,4f94c959e4b03c1054660005
Chiangmai Dental Clinic,Dentist's Office,84/3 Chiangmai-lumpang rd.,18.8110969586144,98.9815131243877,"[{'label': 'display', 'lat': 18.8110969586144, 'lng': 98.9815131243877}]",2353,TH,Chang Phuak,เชียงใหม่,ประเทศไทย,"['84/3 Chiangmai-lumpang rd.', 'Chang Phuak', 'เชียงใหม่ 50300', 'ประเทศไทย']",,50300,4ce0f29769136dcbb989e6e6
Elite Smile Dental Clinic,Dentist's Office,ช้างคลาน,18.790204760525167,98.99987050164508,"[{'label': 'display', 'lat': 18.790204760525167, 'lng': 98.99987050164508}]",1248,TH,,,ประเทศไทย,"['ช้างคลาน', 'ประเทศไทย']",,,4f5c7be1e4b0ea85998b0fba
Big Smile Dental Clinic,Dentist's Office,,18.782739809505937,98.97802631076236,"[{'label': 'display', 'lat': 18.782739809505937, 'lng': 98.97802631076236}]",1391,TH,,,ประเทศไทย,['ประเทศไทย'],,,4d0f12cd59606dcb74a06c3e
BIG SMILE DENTAL CLINIC,,,18.79151,99.00099,"[{'label': 'display', 'lat': 18.79151, 'lng': 99.00099}]",1365,TH,,เชียงใหม่,ประเทศไทย,"['เชียงใหม่', 'ประเทศไทย']",,,4e488e837d8b91a065ab851f
Chiangmai Smile Dental Clinic,Health & Beauty Service,,18.781122,98.996248,"[{'label': 'display', 'lat': 18.781122, 'lng': 98.996248}]",1387,TH,,,ประเทศไทย,['ประเทศไทย'],,,58a580ef9c439d1f54ddb76d
VK Dental Clinic,Dentist's Office,,18.779319906052958,98.99954676518769,"[{'label': 'display', 'lat': 18.779319906052958, 'lng': 98.99954676518769}]",1767,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",Changklan Rd.,,4bb96a20b35776b0fdefc901
เมืองฟ้า Dental Clinic,Dentist's Office,ช้างม่อย,18.795104,99.000489,"[{'label': 'display', 'lat': 18.795104, 'lng': 99.000489}]",1393,TH,เมือง,เชียงใหม่,ประเทศไทย,"['ช้างม่อย (เมืองสมุทร)', 'เมือง', 'เชียงใหม่', 'ประเทศไทย']",เมืองสมุทร,,4e8d8aa48b81f047f181123d
Big Smile Dental Clinic,,053 815179,18.782838,98.977894,"[{'label': 'display', 'lat': 18.782838, 'lng': 98.977894}]",1394,TH,Phra Singh,เชียงใหม่,ประเทศไทย,"['053 815179', 'Phra Singh', 'เชียงใหม่', 'ประเทศไทย']",,,4cea4c2db99754815b890645
sorriso dental clinic,Dentist's Office,,18.802359458141808,98.98224669018559,"[{'label': 'display', 'lat': 18.802359458141808, 'lng': 98.98224669018559}]",1416,TH,,,ประเทศไทย,['ประเทศไทย'],,,4f80ffabe4b088077f6040fa
Fortune Dental Clinic,Dentist's Office,,18.805341837175163,98.96035421750534,"[{'label': 'display', 'lat': 18.805341837175163, 'lng': 98.96035421750534}]",3333,TH,Chang Phuak,เชียงใหม่,ประเทศไทย,"['Chang Phuak', 'เชียงใหม่', 'ประเทศไทย']",,,4c5bd338857ca593e169c8cb
VP Dental clinic,Medical School,,18.801018,98.9795,"[{'label': 'display', 'lat': 18.801018, 'lng': 98.9795}]",1444,TH,,,ประเทศไทย,['ประเทศไทย'],,,585f936e158b9617882d8463
